"","study","id","variable","value"
"413","activity",NA,"tBodyAcc-std()-Z",-0.638204198586387
"414","activity",NA,"tBodyAcc-std()-Z",-0.649759381421569
"415","activity",NA,"tBodyAcc-std()-Z",-0.707849796494898
"416","activity",NA,"tBodyAcc-std()-Z",-0.684377303079787
"417","activity",NA,"tBodyAcc-std()-Z",-0.685661982722513
"418","activity",NA,"tBodyAcc-std()-Z",-0.608356983556977
"419","activity",NA,"tBodyAcc-std()-Z",-0.660477613935673
"420","activity",NA,"tBodyAcc-std()-Z",-0.522784316991771
"421","activity",NA,"tBodyAcc-std()-Z",-0.705030478805031
"422","activity",NA,"tBodyAcc-std()-Z",-0.645333374523179
"423","activity",NA,"tBodyAcc-std()-Z",-0.669819086160988
"424","activity",NA,"tBodyAcc-std()-Z",-0.449090232221753
"425","activity",NA,"tBodyAcc-std()-Z",-0.494124231021277
"426","activity",NA,"tBodyAcc-std()-Z",-0.501342130179861
"427","activity","LAYING","tBodyAcc-std()-Z",-0.948038745185714
"428","activity","SITTING","tBodyAcc-std()-Z",-0.935722345350283
"429","activity","STANDING","tBodyAcc-std()-Z",-0.938520761337173
"430","activity","WALKING","tBodyAcc-std()-Z",-0.274944212689568
"431","activity","WALKING_DOWNSTAIRS","tBodyAcc-std()-Z",-0.18795329211522
"432","activity","WALKING_UPSTAIRS","tBodyAcc-std()-Z",-0.174486588607568
